"Divine aid is necessary to overcome moral trials and resist temptation.","Oh Lord deliver thy servent out of temtations",inferred,0.95,exact,
"The success of missionary efforts and the accomplishment of 'great good' are dependent upon divine grant.","O Lord , grant for thy names name’s sake.",explicit,0.9,exact,
"God possesses exclusive knowledge regarding whether an individual will ultimately accept the truth.","Whether he will receive the the truth the Lord only knows",explicit,0.95,exact,
"Divine truth, when spoken by its authorized messengers, cannot be successfully withstood by those of other sects.","He could not stand against our words",inferred,0.8,exact,
"The ultimate outcomes of religious efforts and missionary labors are governed by divine providence.","The result we leave in the hand of God.",explicit,0.95,exact,
"Baptism is the appropriate ordinance for individuals who have attained a full belief and conviction in the truth of the work.","declared his full beleif belief in the truth of the work and is with his wife , who is also convinced , to be baptised baptized",inferred,0.85,exact,
"The Holy Spirit provides divine inspiration and utterance to those preaching the gospel","The spirit Spirit gave utterance .",explicit,0.95,exact,
"The gift of the Holy Spirit is bestowed upon believers through the ritual of laying on of hands","laid on hands for the gift of the holy spirit Holy Spirit.",explicit,0.98,exact,
"The ordinance of breaking bread is a formal component of worship and communal fellowship","We broke bread ,",inferred,0.85,exact,
"Baptism is the required initiatory ordinance for those who desire to follow the word of God","Twelve came forward and was were baptized ,",inferred,0.9,exact,
"The establishment of divine truth among a people is a work dependent upon God's power","O God , esta b lish thy word among this people",inferred,0.8,exact,
"The gift of the Holy Spirit is bestowed through the laying on of hands.","laid on hands for the gift of the holy spirit Holy Spirit.",explicit,0.95,exact,
"The Holy Spirit manifests in varying ways, including feelings of power and feelings of peace.","The spirit Spirit was given in great power to some , and the rest had great peace",explicit,0.9,exact,
"The ultimate objective of God's work is for all people to gain a knowledge of Him.","May God carry on his work in this place till until all shall know him",inferred,0.85,exact,
"Spiritual gifts, such as the gift of tongues, serve to bring joy to the community of believers.","One of the sisters got the gift of toungues tongues which made the saints Saints rejoice",inferred,0.85,exact,
"God increases the presence of spiritual gifts among believers for the sake of Jesus Christ.","May God increse increase the gifts among them for his sons Son’s sake",inferred,0.8,exact,
"God increases spiritual gifts for the sake of Jesus Christ","May God increse increase the gifts among them for his sons Son’s sake",explicit,0.9,exact,
"God fulfills specific promises made to individuals regarding the safety of their families","found Found my family all well according to the promise of the Lord",explicit,0.95,exact,
"Human safety and well-being are blessings from God that merit gratitude","for which blessings I feel to thank his holy name",inferred,0.9,exact,
"Divine providence can be invoked to ensure the success of a journey","May the Lord prosper our journey",inferred,0.85,exact,
"Celestial phenomena, such as falling stars, constitute a literal fulfillment of scriptural prophecy.","a litteral fullfillment literal fulfillment of the word of God as recorded in the holy scriptures",explicit,0.95,exact,
"Signs in the heavens serve as certain indicators that the Second Coming of Christ is imminent.","a sure sign that the coming of Christ is clost close at hand",explicit,0.95,exact,
"God's works are marvelous and evoke a duty of gratitude and recognition of His mercy.","how marvellous marvelous are thy works , Oh O Lord , and I thank thee for thy me r cy unto me",explicit,0.85,exact,
"Salvation in the kingdom of God is sought through the mediation and merits of Jesus Christ.","save me in thy kingdom for Christ ’s sake",explicit,0.9,exact,
"Salvation in the kingdom of God is sought through the merits or sake of Jesus Christ.","O Lord , save me in thy kingdom for Christ ’s sake .",explicit,1.0,exact,
"In times of sorrow, an individual should place their trust in God.","feel to trust in the Lord , the god God of Jacob",inferred,0.85,exact,
"Humanity is generally characterized by treachery and selfishness, with very few exceptions.","man is trecheous treacherous and selfish , but few excep ted",explicit,0.95,exact,
"A President of the Church of Christ is expected to possess a pure and steadfast love for those who support and benefit the work.","pure and stedfast steadfast love for those who are his benefa ctors as should possess the breast of a Presedent president of the chu r ch Church of Christ",explicit,0.95,exact,
"Selfishness and an overly independent spirit in a leader can destroy the confidence and loyalty of their followers.","selfish and indipendance of independent mind which , to o often manifest distroys , destroys the confidence of those who would lay down their lives for him",explicit,0.9,exact,
"God provides support to individuals contingent upon their continued faithfulness to their divine calling.","He is a man whom god God will uphold if he will continue faithful to his calling .",explicit,0.95,exact,
"It is a moral duty to praise the virtues of those who intend to do good rather than criticizing their faults in their absence.","the The man who willeth to do well , we should extall extol his virtues and speak not of his faults behind his back a .",explicit,0.95,exact,
"Abandoning a friendship willfully and without justification is a grave transgression that is difficult to forgive.","A man w ho willfuly willfully turneth away from his friend without a cause is not easily forgiven.",explicit,0.95,exact,
"Human kindness should be held in perpetual remembrance.","the The kindness of a man should never be forgotten that .",explicit,0.95,exact,
"Individuals who remain faithful to their trusts should be held in the highest regard and receive ever-increasing love.","That person who never forsaketh his trus t should ever have the hi ghest place for regard in our hearts , and our love shou ld never fail but incr ease more and more",explicit,0.95,exact,
"Individuals should seek with all their heart to magnify their callings or offices within the church.","seeks with all his heart to mag nify his presidency in the church Church of ch r ist Christ",explicit,0.95,exact,
"A lack of self-confidence can lead to failure in fulfilling one's ecclesiastical responsibilities.","fails in many in stances , in consequence of a want of confidence in him self",explicit,0.9,exact,
"Divine blessings and favor can extend to an individual's posterity, causing future generations to flourish.","his generation after him shall flourish",explicit,0.85,exact,
"The Lord appoints specific lands of inheritance for the faithful in Zion.","The Lord hath ap pointed him an inheritance upon the land of Zion",explicit,0.95,exact,
"A constant and steady mind is a virtuous trait that leads to success and influence.","is ever wining winning because of his constant mind",inferred,0.8,exact,
"Divine correction and the endurance of burdens are means by which an individual learns the Lord's will.","that learneth his master’s will by the stroke of the rod",explicit,0.95,exact,
"The Lord extends mercy to those who have been disciplined, enabling them to become spiritually productive.","Yet the Lord will have mercy on him, and he shall bring forth much fruit",explicit,0.9,exact,
"God provides joy and guidance through the agency of others who assist those in distress.","the Lord shall make his heart merry as with sweet wine because of him who putteth forth his hand and lifteth him up out of deep mire",inferred,0.85,exact,
"The Lord actively humbles individuals to correct their pride.","and humbleth him in his pride.",explicit,0.95,exact,
"Divine blessings can extend to an individual's posterity.","Blessed are his generations.",explicit,0.95,exact,
"The posterity of the righteous are blessed.","Blessed are his generations.",explicit,0.9,exact,
"Those who have strayed from the fold will be actively sought out and returned.","one shall hunt after them as a man hun teth after an ass that hath strayed in the wilderness , & and straitway straightway findeth him and bringeth him into the fold.",explicit,0.95,exact,
"The Lord watches over specific generations to ensure their salvation.","Thus shall the Lord watch over his generation that they may be saved",explicit,0.95,exact,
"Prayer to God should be offered in the name of Jesus.","I ask God in the name of Jesus",explicit,0.95,exact,
"The word of God is intended to be disseminated to all nations of the earth.","his word may speedely speedily go for th t o the Nations nations of the earth",explicit,0.95,exact,
"The restoration of the house of Israel is a primary objective of God's work.","his great work in bringing about the restoration of the house of Israel",explicit,0.98,exact,
"Temporal labors dedicated to the gospel require divine establishment to succeed.","I ask God in the name of Jesus to estab lish it for ever forever",inferred,0.85,exact,
"Physical tools and property used for religious purposes should be formally dedicated to God.","dedicate the printing press and all that per tains thereunto to God",explicit,0.95,exact,
"Approaching God in prayer or dedication involves physical expressions of humility, such as bowing.","proceded to bow down before the Lord",explicit,0.9,fuzzy,97.2222222222222
"Religious acts and dedications are validated through the confirmation of multiple witnesses or priesthood leaders.","confirmed by bro Brothers Sidney Rigdon and Hyrum Smith",inferred,0.8,exact,
"Individuals must forsake evil to escape the buffetings of the adversary.","there are are two evils in him that he must needs for sake or he cannot altogeth er escape the buffettings buffetings of the advers ar y",explicit,0.95,exact,
"Divine forgiveness is conditional upon the act of forsaking one's sins.","If he shall forsak forsake these evils , he shall be forgiven",explicit,0.95,exact,
"Constancy and steadfastness in the work of the Lord result in divine blessings.","he is blessed of the Lord for his constancy and steadfastness in the work of the Lord",explicit,0.9,exact,
"Faithfulness to God can secure spiritual promises and protection for one's posterity.","he shall be blessed in his generation , and they shall never be cut off",explicit,0.85,exact,
"God can transform a forgiven individual into a sign and an ensign to the nations.","He shall be a sign and an ensign unto the nations",explicit,0.9,exact,
"Faithfulness results in generational blessings, protection from being cut off, and deliverance from troubles.","he shall be blessed in his generation , and they shall never be cut off , and he shall be helped out of many troubles and .",explicit,0.9,exact,
"Obedience to divine commandments and counsel leads to a glorious rest.","if he keep s the command ments and harken hearkens unto the council counsel of the Lord his rest shall be glorious .",explicit,0.98,exact,
"Redemption is found within the house of the Lord.","they shall yet find redemption in the house of the Lord ,",explicit,0.95,exact,
"Posterity is intended to be a source of blessing, joy, and comfort to their parents.","their of f spring s shall be a blessing , a Joy joy, and a comfort unto them blessed .",explicit,0.92,exact,
"Benevolence and philanthropy are virtues associated with receiving divine strength and eternal life.","her soul is ever fill ed with benevolence and phylanthropy philanthrophy, and notwithstanding her age yet she shall receive strength and shall be comferted comforted in the midst of her house , and she shall have eternal life and .",inferred,0.85,exact,
"Divine providence can bring an end to the afflictions of one's children.","the hand of the Lord shall be over him , for he shall see the affliction of his children pass away and .",explicit,0.88,exact,
"The Lord provides divine protection and relief from family afflictions to those under His care.","And blessed is my father , for the hand of the Lord shall be over him , for he shall see the affliction of his children pass away and .",explicit,0.95,exact,
"A life of righteousness results in a fruitful and abundant legacy in one's later years.","And when his head is fully ripe he shall behold himself as an olive tree whose bran ches are bowed down with much fruit he .",inferred,0.85,exact,
"The righteous are promised a heavenly dwelling or mansion in the afterlife.","He shall also possess a mansion on high blessed .",explicit,0.98,exact,
"Integrity of heart is a virtue that merits divine favor and blessing.","Blessed of the Lord is my brothe r Hyram Hyrum for the integrity of his heart he .",explicit,0.95,exact,
"Truth and faithfulness serve as a source of spiritual power and personal strength.","He shall be girt about with truth , and faithful ness shall be the strength of his loins .",explicit,0.95,exact,
"God utilizes faithful individuals as instruments to execute His judgments across generations.","from From generation to generation he shall be a shaft in the hand of his God to exicute Judgment execute judgment upon his enemies",explicit,0.92,exact,
"The Lord provides divine protection to shield the faithful from being exposed to harm by their enemies.","he shall be hid by the hand of the Lord that none of his secret parts shall be discovered unto his hu r t his .",explicit,0.9,exact,
"The memory and name of a righteous individual are regarded as a source of blessing by others.","His name shall be accounted a blessing among men and .",explicit,0.88,exact,
"Turning one's mind toward God during periods of intense tribulation provides a shield against the power of Satan.","And when he is in trouble and great tribulation hath come upon him , he shall remember the God of Jacob and he will shield him from the power of satan Satan and .",explicit,0.98,exact,
"Remembering God during times of tribulation provides divine protection from the power of Satan.","when he is in trouble and great tribulation hath come upon him , he shall remember the God of Jacob and he will shield him from the power of satan",explicit,0.95,exact,
"Receiving counsel in the house of the Most High strengthens an individual's hope.","he shall receive councel counsel in the house of the most high Most High that he may be streng t hened in hope",explicit,0.95,exact,
"God matures the judgment of those appointed to teach in His house.","the Lord shall ma ture his mind in Judgment judgment",explicit,0.9,exact,
"Answers to prayer are obtained through an individual's faithfulness.","he shall obtain answ er to prayer in his faithfulness",explicit,0.95,exact,
"Divine counsel and sacred instruction establish an individual's life path permanently.","that the goings of his feet may be established for ever blessed forever.",inferred,0.85,exact,
"Faithfulness is the prerequisite for receiving answers to prayer.","he shall obtain answ er to prayer in his faithfulness — .",explicit,0.95,exact,
"Pride leads an individual to neglect essential spiritual and moral duties.","in the pride of his heart he will neglect the more weighty matters",explicit,0.95,exact,
"The neglect of spiritual duties eventually results in soul-deep sorrow.","neglect the more weighty matters until his soul is bowed down in sorrow",explicit,0.95,exact,
"Divine forgiveness is found by returning to God and calling upon His name.","re turn and call on th e name of his God and shall find forgivness",explicit,0.95,exact,
"The experience of divine forgiveness empowers an individual to become spiritually valiant.","shall find forgivness forgiveness and shall wax valient therefor valiant.",explicit,0.9,exact,
"Repentance and divine forgiveness lead to being saved to the uttermost.","he shall be saved unto the ut ter most uttermost",inferred,0.9,exact,
"Righteousness involves being fearless in avenging the wrongs of the innocent and relieving the oppressed.","Fearless and unda u nted shall they be in battle in avenging the rongs wrongs of th e innocent and relieving the oppressed",explicit,0.9,exact,
"Righteous individuals have a duty to be fearless in defending the innocent and relieving the oppressed.","Fearless and unda u nted shall they be in battle in avenging the rongs wrongs of th e innocent and relieving the oppressed",explicit,0.9,exact,
"God's blessings can remain with a household despite the personal rebellion of an individual within that house.","the blessings of the God of Jacob shall be in the midst of his house , notwithstan ding his rebelious rebellious heart",explicit,0.95,exact,
"Salvation and a place in God's kingdom are achieved by being established upon a firm spiritual foundation, referred to as the 'rock of ages.'","establish their feet upon the rock of ages , that they may have place in thy house and be saved in thy Kingdom",explicit,0.95,exact,
"Intercessory prayer can be used to petition God for the protection and remembrance of one's kindred.","let the residue of my father ’ s house ever come up in remembrance before thee that thou mayest save them from the hand of the oppressor",inferred,0.85,exact,
"Petitions and prayers to God are offered through the mediation or for the sake of Jesus Christ.","And let all these things be even as I have said for Christs Christ’s sake",explicit,1.0,exact,
"Divine blessings for the community of Zion are likened to or delivered by heavenly messengers.","may God grant it , a blessing for Zion , as a kind Angel angel from heaven",inferred,0.8,exact,
"God provides physical safety and protection to individuals and their families in response to prayer.","O Lord , keep us and my Family family safe untill until I can return to them again .",inferred,0.85,exact,
"Divine mercy is sought and granted through the mediation and sake of Jesus Christ.","have mer cy on my Bretheren brethren in Zion for Christ Sake ’s sake.",inferred,0.95,exact,
"Collective, unified prayer among believers is a recognized practice for seeking specific divine blessings.","united in prayer and asked the Lord to grant the fol lowing petition",inferred,0.8,exact,
"God provides divine oversight and watchfulness over individuals.","watch over our per sons",inferred,0.85,exact,
"God may assign angels to protect and watch over individuals and their families.","give his angels cha rge concerning us and our families",inferred,0.95,exact,
"God has the power to protect individuals from unseen or spiritual evils.","no evil nor un seen hand might be permitted to harm us",inferred,0.85,exact,
"Human life is of significant value and is considered precious by God.","That that the Lord would grant that our lives might be precious in his sight",inferred,0.9,exact,
"God has the power to preserve the lives of those dedicated to His work.","That that the Lord would also hold the lives of all the United Firm , and not suffer that any of them shall be taken.",inferred,0.85,exact,
"God has the power to preserve the lives of those engaged in His work.","the Lord would also hold the lives of all the United Firm , and not suffer that any of them shall be taken.",inferred,0.9,exact,
"God can influence civil authorities and courts to ensure that justice is administered.","the Lord would fill the heart of the Court court with a spirit to do justice , and cause that the law of the land may be magnified in bringing him to justice.",inferred,0.85,exact,
"The Church relies on divine providence to obtain the means necessary to settle its financial obligations.","the Lord would provide, in the order of his Providence providence , the bishop of this Church church with means sufficient to discharge every debt that the Firm owes",inferred,0.9,exact,
"The failure of the Church to meet its financial obligations brings the institution into disrepute and leads to the affliction of its members.","discharge every debt that the Firm owes, in due season, that the Church church may not be braught brought into disrepute , and the saints Saints be afflicted by the hands of their enemies.",explicit,0.95,exact,
"God provides the resources necessary for the global dissemination of the gospel.","give us means to send forth his word, even his gos pel , that the ears of all may hear it",explicit,0.95,exact,
"The publication of scripture is intended to enlighten human understanding and reveal truth.","print his scrip tures; and also that he would give those who were appointed to con duct the press , wisdom sufficient that the cause may not be hindered, but that men’s eyes may thereby be opened to see the truth.",explicit,0.95,exact,
"Divine wisdom is granted to those appointed to manage the work of the Lord.","he would give those who were appointed to con duct the press , wisdom sufficient that the cause may not be hindered",explicit,0.9,exact,
"The Lord will deliver Zion and gather His scattered people into a state of peace.","the Lord would deliver Zion , and gather in his scattered people , to possess it in peace",explicit,1.0,exact,
"God provides physical protection and sustenance for His people during periods of displacement or trial.","while in their dispersion, that he would provide for them that they perish not with hunger nor cold.",explicit,0.95,exact,
"The gathering of the elect is accomplished through the name and authority of Jesus.","God in the name of Jesus would gather his elect speedily",explicit,0.95,exact,
"The ultimate destiny of the faithful is to behold God's glory and dwell in His presence.","unveil his face that his saints Saints might behold his glory and dwell with him",explicit,1.0,exact,
"Priesthood ordination is conferred through the laying on of hands.","He was ordained to the office of an elder in this Church church under the hand of Sidney Rigdon",inferred,0.9,exact,
"The Church utilizes a tiered system of ecclesiastical councils to adjudicate matters of discipline and membership standing.","He was tried before a counsel council of high priests on the 21 st day of June , 1833 , and his license re stored to him again, he previously having been cut off from the Church church by the bishop’s court .",inferred,0.95,exact,
"Priesthood authority and church membership can be restored to an individual after they have been disciplined or removed from the church.","his license re stored to him again, he previously having been cut off from the Church church",inferred,0.9,exact,
"The Lord exercises mercy to deliver His servants and the church from those who seek their destruction.","the Lord has in his mercy Delivered delivered me out of his hand . till until the present and also the church",inferred,0.9,exact,
"Individuals should offer heartfelt gratitude to Almighty God for His acts of divine deliverance.","I off e r the gratitud gratitude of my heart to Allmighty Almighty God for the sam e",inferred,0.85,exact,
"Unity among believers is a spiritual prerequisite for effective collective prayer.","being agre e d and united in pray prayer",inferred,0.9,exact,
"God has the power to influence and soften human hearts to make them receptive to the gospel.","that God would soften down the hearts of E lijah Smith , J osiah Jones , Lowd Austin Loud & , and Azariah Lyman , and also Bardsley Andrew Beardsley , that they might obey the gospel",explicit,0.95,exact,
"God intervenes in legal and temporal conflicts to deliver His servants from their adversaries.","that God would continu continue to deliver me and my brethr e n from him , that he may not prevail again st us in the law suit lawsuit that is pending",explicit,0.95,exact,
"The strengthening and geographic expansion of church stakes is a matter of divine petition and providence.","that this stake may be streng thened and its borders enlarged",explicit,0.9,exact,
"If individuals refuse to repent, God may facilitate the transfer of their resources to the faithful to further His work.","if they would not repent , that the lord Lord would send faithful saints Saints to purchase their farms",inferred,0.85,exact,
"Prayer should be offered to God in the name of Jesus Christ.","O Lord , grant it for Christ Sake ’s sake.",explicit,0.98,exact,
"The Sabbath is a designated time for the preaching of the gospel and public religious assembly.","the Sabath Sabbath, Brother Barly Parley P. Pratt preached in this place and I preached in the evening",inferred,0.9,fuzzy,98.0392156862745
"A religious community can be evaluated and characterized by the collective strength of its faith.","There is a small church in this place tha t seem s to be strong in th e faith .",inferred,0.85,exact,
"The establishment and support of Zion is a communal religious duty requiring the voluntary commitment of its members.","Started started from home to obtain volenteers volunteers for Zion .",inferred,0.85,exact,
"Divine assistance in communication, known as the gift of utterance, is a spiritual endowment used to fulfill religious missions.","O Oh, may God bless us with the gift of utterance to ac complish the Journy journey and the Errand errand on which we are sent",inferred,0.9,exact,
"God is the active agent in preserving the faith of believers and guiding them toward Zion.","Oh , may God keep them in the faith and save them and lead them to Zion",inferred,0.92,exact,
"The primary purpose of physical health and longevity is to enable individuals to perform good works for the sake of Christ.","bless my little chil dren with health and long life to do good in th this generation for Christ ’ s sake",inferred,0.88,exact,
"Divine intervention may be sought through prayer for the physical health and longevity of one's children.","O Lord , bless my little chil dren with health and long life",explicit,0.95,exact,
"The primary purpose of seeking health and a long life is to perform good works for the benefit of one's contemporaries.","to do good in th this generation",explicit,0.95,exact,
"Petitions to God are properly offered through the mediation or for the sake of Jesus Christ.","for Christ ’ s sake",explicit,0.98,exact,
"The redemption of Zion is achieved through specific, divinely appointed means.","the means of her Redemtion",explicit,0.95,exact,
"God grants temporal and spiritual blessings based on an individual's needs and their worthiness to receive them.","Blessings Both blessings both temporal and spiritual of which we stand in need or are found worthy to receive",explicit,0.95,exact,
"Faith in the fullness of the gospel is the prerequisite for seeking the ordinance of baptism.","testified his faith in the ful ness of the gospel and desired to Be Baptised",inferred,0.85,exact,
"Those who wish to obey the gospel should make their intent manifest to the ministry to receive the administration of ordinances.","if any wished to obey , if they would make it manifest , we would stay to administer",inferred,0.85,exact,
"Society often prioritizes financial gain over the hospitality and reception due to the disciples of Jesus Christ.","Thus we see that there is is more place for mony money than for Jesus ’s Deciples disciples or the Lamb of God",explicit,0.95,exact,
"Disciples of Christ may face repeated rejection when seeking assistance specifically on the basis of their religious identity.","tryed three times to git keept in the name of Deciples disciples , and could not be keept, kept.",inferred,0.85,fuzzy,90.625
"The world often prioritizes material wealth over the reception of Jesus Christ and his followers.","there is is more place for mony money than for Jesus ’s Deciples disciples or the Lamb of God",explicit,0.9,exact,
"The safety and well-being of one's family is a divine blessing from God.","Found my Family family all well , and the Lord be praised for this blessing",inferred,0.9,exact,
"Gospel preaching is the delivery of the 'word of life.'","Preach preach the word of life",inferred,0.85,exact,
"Finding joy in divine law is a characteristic of a righteous soul.","my Soul My soul delighteth in the Law law of the Lord",explicit,0.95,exact,
"God forgives the sins of those who follow Him.","he forgiveth my sins",explicit,1.0,exact,
"The Lord confounds the enemies of His servants.","will confound mine Enimies the enemies",explicit,0.95,exact,
"Those who oppose God's chosen servants face divine destruction.","The Lord shall destroy him who has lifted his heel against me",explicit,0.9,exact,
"Rebellion against the Almighty results in severe divine judgment.","he lifted his arm against the Almity Almighty, therefore the Lord shall destroy him",explicit,0.95,exact,
"God can be petitioned to provide the financial means necessary to resolve debt and secure institutional liberty.","bowed down befor e the Lord and prayed that he would furnish the means to deliver the firm Firm from debt and be set at liberty",inferred,0.95,exact,
"Divine intervention may be sought to grant victory over adversaries and to bring shame upon those perceived as wicked.","prayed... that I may pre vail against that wicked Doctor Philastus Hurlbut and that he be put to shame accordingly",inferred,0.9,fuzzy,95.0226244343891
"Bowing down is a proper physical posture to express humility and reverence when praying to God.","bowed down befor e the Lord and prayed",inferred,0.85,exact,
"United prayer among a council of leaders is a valid spiritual practice for seeking divine assistance for group needs.","Brothers Newel K. Whitney , Oliver Cowdery , Frederick G. Williams , Heber C. Kimball , and myself meet met in the councel council room and bowed down befor e the Lord and prayed",inferred,0.9,fuzzy,96.6292134831461
"God intervenes in human affairs and legal matters in response to prayer","all of which was in answer to our prayer",explicit,0.95,exact,
"Divine intervention and answered prayers warrant expressions of gratitude to God","for which I thank my heavenly father Heaveny Heavenly Father.",explicit,0.95,exact,
"Individuals within a religious community are assigned specific stewardships for which they are personally responsible.","each one have their stewardship set off to them",inferred,0.9,exact,
"Church fellowship is a status that can be regained by individuals who have been previously separated from the body of the Church.","restored Father Tyler to the Church church",inferred,0.8,exact,
"Organizational decisions within the church are reached through council and mutual agreement.","had Had a concel council of the united firm United Firm at which it was agreed",inferred,0.8,exact,
"The redemption of Zion and the construction of a house for the Lord are essential religious priorities.","the important subject s of the deliverence deliverance of Zion and the building of the Lord ’ s house in Kirtland",inferred,0.85,exact,
"Believers are expected to sacrifice financial resources to achieve the deliverance of Zion.","requested the brethren and sisters to contr i bute all the money they could for the deliverence deliverance of Zion",explicit,0.95,exact,
