id,principle_statement,verbatim_quote,explicit_or_inferred,confidence,event_date_edtf,audience,verification,fuzzy_score,char_start,char_end,reasoning
16,Ecclesiastical leadership is strengthened through the organization of a presidency and a high council.,strengthened local church leadership by appointing a presidency and a “high council” consisting of twelve men,inferred,0.85,1832-11-27,local church leadership,exact,,13009,13118,"The text describes Joseph Smith's action of organizing leadership bodies as a means of 'strengthening' the church, implying a principle of effective governance."
17,The establishment of Zion involves the legal acquisition of property.,directed them to continue to purchase lands in the vicinity of Jackson County,inferred,0.8,1832-11-27,Latter-day Saints,exact,,12812,12889,The directive to purchase land in a specific sacred location implies a principle that physical ownership is part of the theological mandate for Zion.
18,God has the capacity to provide divine direction to an individual's thoughts.,"oh Oh, may God grant that I may be directed in all my thaughts thoughts",explicit,0.95,1832-11-27,personal journal,exact,,13883,13954,The author's prayerful petition directly expresses the theological belief that God can and should influence or guide human mental processes.
19,God bestows blessings upon those who identify as His servants.,Oh bless thy Servent servant,explicit,0.9,1832-11-27,personal journal,exact,,13957,13985,This invocation establishes a theological relationship where God is viewed as the source of blessings for those dedicated to His service.
20,Maintaining a detailed record of one's life and observations is a purposeful and significant activity.,for the purpose to keep a minute acount account of all things that come under my obsevation observation,inferred,0.8,1832-11-27,personal journal,exact,,13767,13870,The dedication of a specific 'Book for Record' to document 'all things' implies a philosophical commitment to the importance of historical preservation and personal accountability.
21,God is the source of mental serenity and peace.,"this This Evening evening my mind is calm and serene , for which I thank the Lord .",inferred,0.95,1832-11-28,Personal journal,exact,,14092,14175,"Joseph Smith attributes his internal state of calm to the Lord, which implies a theological principle that God is the source of spiritual and mental tranquility."
22,God has the power to preserve and spare human life.,the The Lord spare the life of thy servent servant.,inferred,0.95,1832-11-29,Personal journal,exact,,14750,14801,This prayerful petition implies a theological belief in God's sovereignty over mortality and his ability to intervene to preserve an individual's life.
23,Prophetic revelation can provide specific geographic and administrative direction for church leadership.,Brother Fr ederic Frederick G. Williams Frederick G. Williams Prophcyed prophesied tha t next spring I should go to the city of Pitts Burg Pittsburgh to establish a Bis hopwrick bishopric,inferred,0.9,1832-11-29,Personal journal,fuzzy,97.86096256684492,14465,14726,"By recording a prophecy regarding his future travels and the establishment of a bishopric, Smith implies an acceptance of the role of prophetic utterance in determining the geographic and administrative expansion of the church."
27,"Believers have a responsibility to share their personal witness of the gospel with those they encounter, including families and individuals.",bore Bore testmony testimony to him and Family family,inferred,0.8,1832-11-30,private journal,exact,,15021,15074,Smith’s immediate action of bearing testimony to those he encountered on his journey home illustrates the principle that personal witness is a primary and necessary method of gospel propagation.
25,The recording of divine revelation involves a process of writing and subsequent correction or refinement by the prophet.,wrote Wrote and cor rected revelations,inferred,0.85,1832-12-01,private journal,exact,,15167,15205,"Joseph Smith’s practice of correcting revelations suggests a theological framework where the prophetic process includes the human refinement of recorded divine communication rather than a static, one-time dictation."
26,The Sabbath is a day designated for communal worship and religious assembly.,the The sabath Sabbath. went Went to meeting,inferred,0.8,1832-12-02,private journal,exact,,15255,15299,"By specifically noting his attendance at a meeting because it was the Sabbath, Smith reinforces the theological principle of Sabbath-day assembly for worship."
24,Priesthood ordination is a physical act performed by the laying on of hands by one in authority.,ordaind Ordained Brothe r Brother Packherd Noah Packard with my own hands,inferred,0.9,1832-12-03,private journal,exact,,15348,15421,"The mention of ordaining 'with my own hands' identifies the physical act of laying on of hands as the method for conferring priesthood office, a practice Smith models here as the authorized leader."
28,God is the source of deliverance from temptation and the provider of wisdom and understanding to those who seek Him.,"Oh O Lord , deliver thy servent servant out of temtations temptations and fill his heart with wisdom and understanding .",explicit,0.95,1832-12-04,personal prayer,exact,,16028,16148,"This prayer directly articulates a theological belief in God's power to intervene in human moral struggles and intellectual development, framing God as the essential source of spiritual protection and insight."
29,The true meaning of scriptural parables is unlocked through modern divine revelation.,received a Revelation revelation explaining the Parable parable of the wheat and the tears tares,inferred,0.9,1833-10-04,church members,exact,,16525,16621,Joseph Smith's record of receiving a revelation specifically to explain a biblical parable implies the theological principle that ancient scripture requires contemporary revelation for correct interpretation.
30,The work of the ministry is to be conducted in companionships under the direction of a governing council.,ordered by the council that he should be a comp anion with Brothe r Brother Noah packard Packard in the work of the ministry,inferred,0.85,1833-10-04,church leadership,exact,,16329,16453,This administrative entry reflects the ecclesiastical principle of the 'law of witnesses' and the organizational necessity of council oversight in the assignment of missionary labor.
31,God is the divine agent who confirms or 'seals' the truth of a spiritual testimony upon the hearts of listeners.,"O God Seal , seal our te s timony to their hearts .",inferred,0.95,1833-10-05,God (in prayer),exact,,17510,17561,Joseph Smith's prayerful petition reflects a theological belief that the effectiveness of missionary preaching depends on divine intervention to validate the message within the recipient's soul.
32,The Sabbath is a designated day for believers to gather for communal worship and meetings.,arrived Arrived at Springfield Pennsylvania on the sabbath Sabbath . found Found the Brotheren brethren in mee ting .,inferred,0.85,1833-10-05,the brethren,exact,,17182,17299,"The narrative records the Saints gathering specifically on the Sabbath, which illustrates the early LDS principle of Sabbath-day assembly and communal religious observance."
33,Public preaching and speaking are primary methods for delivering religious instruction to a congregation.,Brother Sidney Rigdon spake spoke to the people,inferred,0.8,1833-10-05,meeting attendees,exact,,17301,17348,The recording of Sidney Rigdon's sermon as a central activity of the gathering highlights the importance of oral discourse and public teaching in the dissemination of the gospel.
34,Attentiveness and receptivity from a congregation are valued during the delivery of religious messages.,"had Had a great congre gation , paid good attention",inferred,0.75,1833-10-05,meeting attendees,exact,,17452,17503,Joseph Smith's specific observation of the audience's attention suggests that the quality of listening is a significant factor in the success and spiritual impact of a religious meeting.
35,God has the power to confirm and validate human testimony within the hearts of individuals.,"O God Seal , seal our te s timony to their hearts .",explicit,0.95,1833-10-05,God,exact,,17510,17561,"Joseph Smith's prayerful petition demonstrates a theological belief that divine power is required to 'seal' or confirm the truth of a testimony to an audience, making it a discrete principle of divine intervention in conversion."
36,"Inspired preaching and spiritual instruction are directed by the Holy Spirit, which provides the speaker with the words to say.",We spoke to them as the spirite Spirit gave utterence utterance.,explicit,0.95,1833-10-05,The brethren at Westfield,exact,,18039,18103,"The text explicitly attributes the content and delivery of the sermon to the 'utterance' provided by the Spirit, reflecting the doctrine that the Spirit provides the content and power for religious discourse."
37,The Lord bestows His Spirit in a marvelous manner during religious gatherings.,the The Lord gave his spirit Spirit in marvilous marvelous man n er,explicit,0.95,1833-10-05,large congregation,exact,,18755,18822,"Joseph Smith explicitly attributes the spiritual power felt during the meeting to the Lord's direct action, establishing a theological link between worship and divine manifestation."
38,The God of Abraham is the source of spiritual manifestations and the proper object of gratitude.,I am thankful to the god God of Ab r aham,explicit,0.9,1833-10-05,,exact,,18835,18876,"By specifically naming the 'God of Abraham,' Smith identifies the continuity of the biblical deity in modern spiritual experiences and establishes gratitude as the appropriate response to divine favor."
39,Divine protection and preservation should be sought through prayer for one's family.,"Lord , bless my family and preserve them .",inferred,0.85,1833-10-05,,exact,,18880,18922,Smith's prayerful petition implies a theological principle that God intervenes in the safety and well-being of families in response to faithful appeals.
40,The presence of the Lord is a necessary companion for safety and guidance during travel.,"Lord , be with us on our Journy journey.",inferred,0.85,1833-10-05,,exact,,19059,19099,This petition reflects the belief in divine providence and the necessity of God's presence to ensure the welfare of those engaged in His work while traveling.
41,Personal testimony (bearing record) is a distinct and essential accompaniment to the preaching of the gospel.,"Brother Sidney Rigdon preached , & and I bear bore record to the people .",inferred,0.8,1833-10-05,large congregation,exact,,18681,18754,"Smith distinguishes between the act of preaching (exposition) and bearing record (testimony), suggesting that the latter is a necessary spiritual witness to confirm the former."
42,The assurance of the Lord's presence contributes to an individual's mental and spiritual well-being.,I feel very well in my mind . the The Lord is with us,inferred,0.8,1833-10-05,,exact,,18438,18491,"Smith connects his positive state of mind to the realization of the Lord's presence, implying a theological principle regarding the source of internal peace."
43,Human intentions and future plans are subordinate to the will of God,"the Lord willing ,",inferred,0.9,1833-10-05,private journal,exact,,20688,20706,"The use of this phrase reflects the theological belief in divine providence, where human actions are only possible if they align with God's permission or intervention."
44,The effectiveness of spiritual instruction is contingent upon the audience's willingness to listen and give heed,gave good heed to the things which were spoken,inferred,0.8,1833-10-05,private journal,exact,,20368,20414,"Smith notes the audience's attentiveness as a key detail of the meeting's success, implying that 'giving heed' is a necessary response to the preaching of the gospel."
45,The purpose of missionary travel and preaching is to 'do good',prospects of doing good,inferred,0.75,1833-10-05,private journal,exact,,20579,20602,"Joseph Smith frames his missionary activities in Canada as an opportunity for 'doing good,' indicating a philosophical view of his ministry as a benevolent service to others."
46,Opposition to religious truth is often characterized by a lack of reason and knowledge.,destitute of reason or knawledge he knowledge.,inferred,0.85,1833-10-05,private journal entry,exact,,21051,21097,"Joseph Smith critiques his opponent not merely for disagreeing, but specifically for lacking reason and knowledge, implying that true religious discourse should be grounded in these attributes."
47,The success of missionary efforts and the accomplishment of 'great good' are dependent upon divine grant.,"O Lord , grant for thy names name’s sake.",explicit,0.9,1833-10-05,prayer recorded in journal,exact,,21322,21363,"Smith explicitly petitions God to grant success in Canada, showing a theological reliance on divine intervention for the progress of his work."
48,God possesses exclusive knowledge regarding whether an individual will ultimately accept the truth.,Whether he will receive the the truth the Lord only knows,explicit,0.95,1833-10-05,private journal entry,exact,,21584,21641,"Smith directly states that the certainty of an individual's conversion is known only to God, highlighting a principle of divine foreknowledge or discernment."
49,"Divine truth, when spoken by its authorized messengers, cannot be successfully withstood by those of other sects.",He could not stand against our words,inferred,0.8,1833-10-05,private journal entry,exact,,21536,21572,"Smith observes that a sectarian leader was unable to refute their message, suggesting a belief in the inherent power and irrefutability of the truth they preached."
50,The ultimate outcomes of religious efforts and missionary labors are governed by divine providence.,The result we leave in the hand of God.,explicit,0.95,1833-10-05,private journal,exact,,22385,22424,"Joseph Smith explicitly articulates a theological stance of surrendering the results of his ministry to God's control, reflecting a foundational belief in divine providence and sovereignty."
51,Baptism is the appropriate ordinance for individuals who have attained a full belief and conviction in the truth of the work.,"declared his full beleif belief in the truth of the work and is with his wife , who is also convinced , to be baptised baptized",inferred,0.85,1833-10-05,private journal,exact,,22154,22281,"The text records a specific instance of conversion that follows a doctrinal pattern: hearing the word, developing full belief and conviction, and then seeking the ordinance of baptism, implying this is the established theological order."
52,The Holy Spirit provides divine inspiration and utterance to those preaching the gospel,The spirit Spirit gave utterance .,explicit,0.95,1833-10-05,congregation at Mount Pleasant,exact,,22875,22909,"Joseph Smith explicitly attributes the power and content of the preaching to the Spirit, establishing a theological principle regarding the source of inspired communication."
53,The gift of the Holy Spirit is bestowed upon believers through the ritual of laying on of hands,laid on hands for the gift of the holy spirit Holy Spirit.,explicit,0.98,1833-10-05,new converts at Mount Pleasant,exact,,23482,23540,The text directly connects the physical act of laying on hands with the specific theological purpose of conferring the gift of the Holy Spirit.
54,The ordinance of breaking bread is a formal component of worship and communal fellowship,"We broke bread ,",inferred,0.85,1833-10-05,believers at Mount Pleasant,exact,,23465,23481,"While recorded as a narrative event, the inclusion of 'breaking bread' alongside confirmation and the gift of the Spirit indicates its status as a formal religious ordinance (the Sacrament)."
55,Baptism is the required initiatory ordinance for those who desire to follow the word of God,"Twelve came forward and was were baptized ,",inferred,0.9,1833-10-05,congregation at Mount Pleasant,exact,,23186,23229,"The narrative identifies baptism as the immediate and necessary response for those 'deeply impressed' by the word, establishing it as the standard practice for conversion."
56,The establishment of divine truth among a people is a work dependent upon God's power,"O God , esta b lish thy word among this people",inferred,0.8,1833-10-05,,exact,,22724,22770,This prayerful petition reflects the underlying theological principle that the success of the gospel and its permanence in a community require divine intervention.
57,The gift of the Holy Spirit is bestowed through the laying on of hands.,laid on hands for the gift of the holy spirit Holy Spirit.,explicit,0.95,1833-10-05,meeting attendees,exact,,23482,23540,Joseph Smith describes the specific ritual action (laying on of hands) as the mechanism for conferring the gift of the Holy Spirit.
58,"The Holy Spirit manifests in varying ways, including feelings of power and feelings of peace.","The spirit Spirit was given in great power to some , and the rest had great peace",explicit,0.9,1833-10-05,meeting attendees,exact,,23571,23652,"Smith identifies two distinct ways the Spirit was experienced by the participants, establishing a theological observation on the diversity of spiritual manifestations."
59,The ultimate objective of God's work is for all people to gain a knowledge of Him.,May God carry on his work in this place till until all shall know him,inferred,0.85,1833-10-05,,exact,,23660,23729,"This prayer expresses a teleological view of divine work, suggesting that the intended end-state of missionary and spiritual efforts is universal knowledge of God."
60,"Spiritual gifts, such as the gift of tongues, serve to bring joy to the community of believers.",One of the sisters got the gift of toungues tongues which made the saints Saints rejoice,inferred,0.85,1833-10-05,meeting attendees,exact,,24050,24138,Smith records a causal relationship between the manifestation of a spiritual gift and the collective rejoicing of the church members.
61,God increases the presence of spiritual gifts among believers for the sake of Jesus Christ.,May God increse increase the gifts among them for his sons Son’s sake,inferred,0.8,1833-10-05,,exact,,24146,24215,The prayer identifies the theological rationale for the distribution of spiritual gifts as being rooted in the merits or person of the Son.
62,God increases spiritual gifts for the sake of Jesus Christ,May God increse increase the gifts among them for his sons Son’s sake,explicit,0.9,1833-10-05,personal journal,exact,,24146,24215,"Joseph Smith explicitly petitions God to increase spiritual gifts, grounding the request in the merits of the Son (Jesus Christ), which establishes a theological link between Christ's mediation and the distribution of spiritual endowments."
63,God fulfills specific promises made to individuals regarding the safety of their families,found Found my family all well according to the promise of the Lord,explicit,0.95,1833-10-05,personal journal,exact,,24726,24793,"Smith records the fulfillment of a specific divine promise regarding his family's health, teaching the principle that God is a promise-keeping being who intervenes in personal circumstances."
64,Human safety and well-being are blessings from God that merit gratitude,for which blessings I feel to thank his holy name,inferred,0.9,1833-10-05,personal journal,exact,,24798,24847,"By categorizing the health of his family as 'blessings' and expressing a feeling of thanks to God's 'holy name,' Smith models the principle that divine favor is the source of human welfare and requires a response of gratitude."
65,Divine providence can be invoked to ensure the success of a journey,May the Lord prosper our journey,inferred,0.85,1833-10-05,personal journal,exact,,24271,24303,The prayerful petition for the Lord to 'prosper' a journey implies a theological belief in God's active governance over physical travel and human endeavors.
66,"Celestial phenomena, such as falling stars, constitute a literal fulfillment of scriptural prophecy.",a litteral fullfillment literal fulfillment of the word of God as recorded in the holy scriptures,explicit,0.95,1833-10-05,personal journal,exact,,25331,25428,"Joseph Smith explicitly identifies the astronomical event of falling stars as the literal realization of biblical prophecy, reflecting a belief in the direct correlation between nature and scripture."
67,Signs in the heavens serve as certain indicators that the Second Coming of Christ is imminent.,a sure sign that the coming of Christ is clost close at hand,explicit,0.95,1833-10-05,personal journal,exact,,25433,25493,"Smith interprets the 1833 meteor shower as a definitive indicator of the proximity of Christ's return, linking natural signs to eschatological timelines."
68,God's works are marvelous and evoke a duty of gratitude and recognition of His mercy.,"how marvellous marvelous are thy works , Oh O Lord , and I thank thee for thy me r cy unto me",explicit,0.85,1833-10-05,personal journal,exact,,25502,25595,Smith expresses a theological view of God's providence and the appropriate human response of gratitude for divine mercy in the face of miraculous events.
69,Salvation in the kingdom of God is sought through the mediation and merits of Jesus Christ.,save me in thy kingdom for Christ ’s sake,explicit,0.9,1833-10-05,personal journal,exact,,25633,25674,"This prayerful petition reflects the theological principle that salvation is contingent upon Christ's role or merits, a core tenet of Smith's soteriology."
70,Salvation in the kingdom of God is sought through the merits or sake of Jesus Christ.,"O Lord , save me in thy kingdom for Christ ’s sake .",explicit,1.0,1833-10-05,Personal prayer,exact,,25624,25676,"Joseph Smith's prayer directly identifies Christ as the basis upon which he petitions for salvation in God's kingdom, reflecting a core soteriological principle."
71,"In times of sorrow, an individual should place their trust in God.","feel to trust in the Lord , the god God of Jacob",inferred,0.85,1833-10-05,Personal journal,exact,,25943,25991,"Smith describes his personal response to a 'sorrowful' heart as a feeling of trust in God, modeling a theological principle of reliance on Deity during emotional distress."
72,"Humanity is generally characterized by treachery and selfishness, with very few exceptions.","man is trecheous treacherous and selfish , but few excep ted",explicit,0.95,1833-10-05,Personal journal,exact,,26030,26090,This is a direct philosophical assertion about the nature of mankind based on Smith's observations and experiences.
73,A President of the Church of Christ is expected to possess a pure and steadfast love for those who support and benefit the work.,pure and stedfast steadfast love for those who are his benefa ctors as should possess the breast of a Presedent president of the chu r ch Church of Christ,explicit,0.95,1833-10-05,Personal journal,exact,,26165,26319,Smith explicitly defines a character requirement and moral standard for the specific office of President of the Church.
74,Selfishness and an overly independent spirit in a leader can destroy the confidence and loyalty of their followers.,"selfish and indipendance of independent mind which , to o often manifest distroys , destroys the confidence of those who would lay down their lives for him",explicit,0.9,1833-10-05,Personal journal,exact,,26373,26528,Smith identifies a causal relationship between specific personality flaws in a leader and the erosion of the deep trust required for followers to be willing to sacrifice their lives.
75,God provides support to individuals contingent upon their continued faithfulness to their divine calling.,He is a man whom god God will uphold if he will continue faithful to his calling .,explicit,0.95,1833-10-05,Frederick G. Williams,exact,,26715,26797,Joseph Smith articulates a theological condition for divine sustenance related to one's religious duties and personal fidelity.
76,It is a moral duty to praise the virtues of those who intend to do good rather than criticizing their faults in their absence.,"the The man who willeth to do well , we should extall extol his virtues and speak not of his faults behind his back a .",explicit,0.95,1833-10-05,,exact,,26861,26980,This is a clear ethical instruction on interpersonal communication and the proper way to judge and discuss the character of others.
77,Abandoning a friendship willfully and without justification is a grave transgression that is difficult to forgive.,A man w ho willfuly willfully turneth away from his friend without a cause is not easily forgiven.,explicit,0.95,1833-10-05,,exact,,26982,27080,Smith defines the moral gravity and social consequences of disloyalty in personal relationships.
78,Human kindness should be held in perpetual remembrance.,the The kindness of a man should never be forgotten that .,explicit,0.95,1833-10-05,,exact,,27081,27139,This is a philosophical assertion about the enduring value of benevolent acts and the necessity of gratitude.
79,Individuals who remain faithful to their trusts should be held in the highest regard and receive ever-increasing love.,"That person who never forsaketh his trus t should ever have the hi ghest place for regard in our hearts , and our love shou ld never fail but incr ease more and more",explicit,0.95,1833-10-05,,exact,,27141,27306,This establishes a principle of rewarding loyalty and integrity with social and emotional devotion.
80,Individuals should seek with all their heart to magnify their callings or offices within the church.,seeks with all his heart to mag nify his presidency in the church Church of ch r ist Christ,explicit,0.95,1833-10-05,Frederick G. Williams,exact,,27770,27861,"Joseph Smith identifies the effort to 'magnify' a specific presidency as a virtuous pursuit, establishing the principle of diligence and expansion of one's ecclesiastical office."
81,A lack of self-confidence can lead to failure in fulfilling one's ecclesiastical responsibilities.,"fails in many in stances , in consequence of a want of confidence in him self",explicit,0.9,1833-10-05,Frederick G. Williams,exact,,27868,27945,"Smith explicitly links the failure to perform duties to a psychological or spiritual state, specifically a lack of self-confidence."
82,"Divine blessings and favor can extend to an individual's posterity, causing future generations to flourish.",his generation after him shall flourish,explicit,0.85,1833-10-05,Frederick G. Williams,exact,,28073,28112,This reflects the theological concept of generational or patriarchal blessings where the righteousness or status of an individual impacts the prosperity of their descendants.
83,The Lord appoints specific lands of inheritance for the faithful in Zion.,The Lord hath ap pointed him an inheritance upon the land of Zion,explicit,0.95,1833-10-05,Frederick G. Williams,exact,,28115,28180,This is a core early Latter-day Saint theological tenet regarding the literal gathering and the distribution of land as a divine inheritance for the righteous.
84,A constant and steady mind is a virtuous trait that leads to success and influence.,is ever wining winning because of his constant mind,inferred,0.8,1833-10-05,Frederick G. Williams,exact,,27584,27635,"Smith attributes the success of an individual to the specific mental and spiritual attribute of a 'constant mind,' suggesting it as a desirable principle of character."
85,Divine correction and the endurance of burdens are means by which an individual learns the Lord's will.,that learneth his master’s will by the stroke of the rod,explicit,0.95,1833-10-05,Sidney Rigdon,exact,,28538,28594,"The text explicitly states that the 'master's will' is learned through the 'stroke of the rod,' establishing a theological link between discipline and spiritual understanding."
86,"The Lord extends mercy to those who have been disciplined, enabling them to become spiritually productive.","Yet the Lord will have mercy on him, and he shall bring forth much fruit",explicit,0.9,1833-10-05,Sidney Rigdon,exact,,28621,28693,"The passage promises that following a period of being 'bowed down,' the Lord's mercy will result in the individual bringing forth 'much fruit,' suggesting a cycle of correction followed by grace and productivity."
87,God provides joy and guidance through the agency of others who assist those in distress.,the Lord shall make his heart merry as with sweet wine because of him who putteth forth his hand and lifteth him up out of deep mire,inferred,0.85,1833-10-05,Sidney Rigdon,exact,,28827,28959,"The text describes the Lord bringing joy to an individual specifically because of the actions of another person who 'lifteth him up,' implying that God uses human instruments to provide relief and direction."
88,The Lord actively humbles individuals to correct their pride.,and humbleth him in his pride.,explicit,0.95,1833-10-05,Sidney Rigdon,exact,,29033,29063,The text directly attributes the act of humbling an individual in their pride to the Lord's guidance and intervention.
89,Divine blessings can extend to an individual's posterity.,Blessed are his generations.,explicit,0.95,1833-10-05,Sidney Rigdon,exact,,29065,29093,"This is a direct declaration that the scope of the blessing includes the individual's future descendants, a common theme in Smith's theological blessings."
90,The posterity of the righteous are blessed.,Blessed are his generations.,explicit,0.9,1833-10-05,Private journal entry,exact,,29065,29093,"This is a direct pronouncement of blessing upon a lineage or group of descendants, establishing a theological link between an individual's standing and the favor shown to their posterity."
91,Those who have strayed from the fold will be actively sought out and returned.,"one shall hunt after them as a man hun teth after an ass that hath strayed in the wilderness , & and straitway straightway findeth him and bringeth him into the fold.",explicit,0.95,1833-10-05,Private journal entry,exact,,29109,29275,"Joseph Smith uses a metaphor to describe the active, diligent effort required to find and reclaim those who have wandered away from the faith or community."
92,The Lord watches over specific generations to ensure their salvation.,Thus shall the Lord watch over his generation that they may be saved,explicit,0.95,1833-10-05,Private journal entry,exact,,29277,29345,This statement directly attributes the action of divine oversight to the Lord with the specific theological objective of achieving salvation for a particular generation.
93,Prayer to God should be offered in the name of Jesus.,I ask God in the name of Jesus,explicit,0.95,1833-10-05,God,exact,,30342,30372,Joseph Smith models the theological practice of petitioning the Father through the mediation of Jesus Christ.
94,The word of God is intended to be disseminated to all nations of the earth.,his word may speedely speedily go for th t o the Nations nations of the earth,explicit,0.95,1833-10-05,God,exact,,30422,30499,Smith expresses a clear theological objective regarding the universal scope and global reach of divine revelation.
95,The restoration of the house of Israel is a primary objective of God's work.,his great work in bringing about the restoration of the house of Israel,explicit,0.98,1833-10-05,God,exact,,30524,30595,Smith identifies the restoration of Israel as the specific outcome and purpose of God's 'great work' in the latter days.
96,Temporal labors dedicated to the gospel require divine establishment to succeed.,I ask God in the name of Jesus to estab lish it for ever forever,inferred,0.85,1833-10-05,God,exact,,30342,30406,"By praying for God to establish the printing business, Smith implies that institutional or professional efforts in the service of the gospel depend on divine sanction and permanence."
97,Physical tools and property used for religious purposes should be formally dedicated to God.,dedicate the printing press and all that per tains thereunto to God,explicit,0.95,1833-10-05,Elders assembled in the printing office,exact,,31260,31327,"The text records a formal ritual of dedication for a piece of machinery (the printing press), establishing the principle that secular objects can and should be consecrated for divine service."
98,"Approaching God in prayer or dedication involves physical expressions of humility, such as bowing.",proceded to bow down before the Lord,explicit,0.9,1833-10-05,Elders assembled in the printing office,fuzzy,97.22222222222221,31211,31261,"Joseph Smith records the specific physical action of bowing as a precursor to the dedication, indicating that outward signs of humility are part of the theological practice of consecration."
99,Religious acts and dedications are validated through the confirmation of multiple witnesses or priesthood leaders.,confirmed by bro Brothers Sidney Rigdon and Hyrum Smith,inferred,0.8,1833-10-05,Elders assembled in the printing office,exact,,31351,31406,The inclusion of specific names to 'confirm' the act performed by Joseph Smith suggests a theological or procedural requirement for witnesses to validate a dedication.
100,Individuals must forsake evil to escape the buffetings of the adversary.,there are are two evils in him that he must needs for sake or he cannot altogeth er escape the buffettings buffetings of the advers ar y,explicit,0.95,1833-10-05,Oliver Cowdery,exact,,31621,31757,Joseph Smith explicitly links the presence of un-forsaken evil to the inability to escape spiritual opposition or 'buffetings' from the adversary.
101,Divine forgiveness is conditional upon the act of forsaking one's sins.,"If he shall forsak forsake these evils , he shall be forgiven",explicit,0.95,1833-10-05,Oliver Cowdery,exact,,31764,31825,The text establishes a clear conditional relationship ('If... then') between the action of forsaking evil and the reception of forgiveness.
